Date(UTC),UnixTimeStamp,Value
2017-04-02,1491091200,48.55
2017-04-03,1491177600,44.13
2017-04-04,1491264000,44.43
2017-04-05,1491350400,44.9
2017-04-06,1491436800,43.23
2017-04-07,1491523200,42.31
2017-04-08,1491609600,44.37
2017-04-09,1491696000,43.72
2017-04-10,1491782400,43.74
2017-04-11,1491868800,43.74
2017-04-12,1491955200,46.38
2017-04-13,1492041600,49.97
2017-04-14,1492128000,47.32
2017-04-15,1492214400,48.89
2017-04-16,1492300800,48.22
2017-04-17,1492387200,47.94
2017-04-18,1492473600,49.88
2017-04-19,1492560000,47.88
2017-04-20,1492646400,49.36
2017-04-21,1492732800,48.27
2017-04-22,1492819200,48.41
2017-04-23,1492905600,48.75
2017-04-24,1492992000,49.94
2017-04-25,1493078400,50.09
2017-04-26,1493164800,53.28
2017-04-27,1493251200,63.14
2017-04-28,1493337600,72.42
2017-04-29,1493424000,69.83
2017-04-30,1493510400,79.83
2017-05-01,1493596800,77.53
2017-05-02,1493683200,77.25
2017-05-03,1493769600,80.37
2017-05-04,1493856000,94.55
2017-05-05,1493942400,90.79
2017-05-06,1494028800,94.82
2017-05-07,1494115200,90.46
2017-05-08,1494201600,88.39
2017-05-09,1494288000,86.27
2017-05-10,1494374400,87.83
2017-05-11,1494460800,88.2
2017-05-12,1494547200,85.15
2017-05-13,1494633600,87.96
2017-05-14,1494720000,88.72
2017-05-15,1494806400,90.32
2017-05-16,1494892800,87.8
2017-05-17,1494979200,86.98
2017-05-18,1495065600,95.88
2017-05-19,1495152000,124.38
2017-05-20,1495238400,123.06
2017-05-21,1495324800,148.0
2017-05-22,1495411200,160.39
2017-05-23,1495497600,169.5
2017-05-24,1495584000,193.03
2017-05-25,1495670400,177.33
2017-05-26,1495756800,162.83
2017-05-27,1495843200,156.63
2017-05-28,1495929600,172.86
2017-05-29,1496016000,194.17
2017-05-30,1496102400,228.58
2017-05-31,1496188800,228.64
2017-06-01,1496275200,220.7
2017-06-02,1496361600,222.04
2017-06-03,1496448000,224.3
2017-06-04,1496534400,244.96
2017-06-05,1496620800,247.75
2017-06-06,1496707200,264.26
2017-06-07,1496793600,255.77
2017-06-08,1496880000,259.41
2017-06-09,1496966400,279.11
2017-06-10,1497052800,335.95
2017-06-11,1497139200,339.68
2017-06-12,1497225600,394.66
2017-06-13,1497312000,388.09
2017-06-14,1497398400,343.84
2017-06-15,1497484800,344.68
2017-06-16,1497571200,353.61
2017-06-17,1497657600,368.1
2017-06-18,1497744000,351.53
2017-06-19,1497830400,358.2
2017-06-20,1497916800,350.53
2017-06-21,1498003200,325.3
2017-06-22,1498089600,320.97
2017-06-23,1498176000,326.85
2017-06-24,1498262400,304.54
2017-06-25,1498348800,279.36
2017-06-26,1498435200,253.68
2017-06-27,1498521600,286.14
2017-06-28,1498608000,315.86
2017-06-29,1498694400,292.9
2017-06-30,1498780800,280.68
2017-07-01,1498867200,261.0
2017-07-02,1498953600,283.99
2017-07-03,1499040000,276.41
2017-07-04,1499126400,269.05
2017-07-05,1499212800,266.0
2017-07-06,1499299200,265.88
2017-07-07,1499385600,240.94
2017-07-08,1499472000,245.67
2017-07-09,1499558400,237.72
2017-07-10,1499644800,205.76
2017-07-11,1499731200,190.55
2017-07-12,1499817600,224.15
2017-07-13,1499904000,205.41
2017-07-14,1499990400,197.14
2017-07-15,1500076800,169.1
2017-07-16,1500163200,155.42
2017-07-17,1500249600,189.97
2017-07-18,1500336000,227.09
2017-07-19,1500422400,194.41
2017-07-20,1500508800,226.33
2017-07-21,1500595200,216.33
2017-07-22,1500681600,230.47
2017-07-23,1500768000,228.32
2017-07-24,1500854400,225.48
2017-07-25,1500940800,203.59
2017-07-26,1501027200,202.88
2017-07-27,1501113600,202.93
2017-07-28,1501200000,191.21
2017-07-29,1501286400,206.14
2017-07-30,1501372800,196.78
2017-07-31,1501459200,201.33
2017-08-01,1501545600,225.9
2017-08-02,1501632000,218.12
2017-08-03,1501718400,224.39
2017-08-04,1501804800,220.6
2017-08-05,1501891200,253.09
2017-08-06,1501977600,264.56
2017-08-07,1502064000,269.94
2017-08-08,1502150400,296.51
2017-08-09,1502236800,295.28
2017-08-10,1502323200,298.28
2017-08-11,1502409600,309.32
2017-08-12,1502496000,308.02
2017-08-13,1502582400,296.62
2017-08-14,1502668800,299.16
2017-08-15,1502755200,286.52
2017-08-16,1502841600,301.38
2017-08-17,1502928000,300.3
